number_of_contributors, 0,312,9,6,14.59,7
number_of_commits, 0,10358,89,45,190.11,83
number_of_new_contributors, 0,167,2,1,5.66,4
number_of_contributor-domains, 0,159,4,3,6.32,4
number_of_new_contributor-domains, 0,57,0,0,2.0,1
number_of_open_PRs, 0,3860,22,6,70.84,22
number_of_closed_PRs, 0,14699,4,1,72.59,3
number_of_merged_PRs, 0,1418,17,4,39.52,18
number_of_open_issues, 0,3883,56,28,102.77,53
number_of_closed_issues, 0,20376,52,24,140.51,50
number_of_issue_comments, 0,97846,330,134,781.67,309
number_of_stargazers, 0,6085,75,32,153.46,68
number_of_forks, 0,2789,15,7,46.37,13